project_id,tag,Reasoning,title,description,project_url,operating_unit,budget,expense,budget_breakdown,our_focus,signature_solutions,sdg,sdg_names,focus_area,focus_area_descr,markers,start_date,end_date
01000737,none,"This project focuses on strengthening systemic engagement for an inclusive public sphere, particularly involving women and youth, with no mention or implication of water-related issues.",URU/23/005 Systemic engagement for inclusive public sphere,"This initiative will focus on strengthening systemic engagement between the Parliament and civil society for a more inclusive public sphere, particularly considering the incorporation of systematically excluded groups such as women and youth. The process will be driven by the principles and mechanisms of the deliberative democracy approach. It will pursue three interconnected dimensions to advance systemic engagement between the National Parliament and civil society, focused on women and youth participation.",https://open.undp.org/projects/01000737,Uruguay,574141.0,182415.0,"Budget by year: 2025: $0.00; 2024: $247,617.00; 2023: $326,524.00. SDG 5 (Gender equality) budget: 2023: $244,893.00; 2024: $185,712.75; 2025: $0.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $81,631.00; 2024: $61,904.25; 2025: $0.00. ",,,"5, 16","Gender equality, Peace, justice, and strong institutions",21,"Structural transformation, including green, inclusive and digital transitions","Digital: Output partially enabled through digital technology, Output significantly enabled through digital technology; Innovation: Micronarratives and deep listening; OECD DAC Sector: 150 - Government & Civil Society",2023-05-19,2025-01-31
01001210,none,"This project focuses on community recovery and resilience, but there is no specific mention of water elements such as rivers, lakes, flooding, or water infrastructure.",Enabling Community Recovery and Resilience (ENCORE),"The ENCORE Project is designed to deliver interlinked short-, intermediate-, and long-term interventions along the crisis-to-recovery-to-resilience continuum.",https://open.undp.org/projects/01001210,Myanmar,21767386.0,7149953.0,"Budget by year: 2025: $10,562,397.00; 2024: $9,504,054.00; 2023: $1,700,935.00. SDG 1 (No poverty) budget: 2023: $850,467.50; 2024: $4,752,027.00; 2025: $5,281,198.50. SDG 2 (Zero hunger) budget: 2023: $850,467.50; 2024: $4,752,027.00; 2025: $5,281,198.50. ",,,"1, 2","No poverty, Zero hunger",23,Building resilience,"Digital: No digital technology utilized, Output partially enabled through digital technology; OECD DAC Sector: 152 - Conflict, Peace & Security, 310 - Agriculture, Forestry, Fishing, 410 - General Environment Protection, 998 - Unallocated / Unspecified",2023-01-01,2026-09-30
01001570,none,The project focuses on building substantive capacities within national health sector entities and monitoring strategic health projects managed by UNDP. There is no mention of water-related components.,Mecanismo de Coordinación Pais - UNDP-BOL-2308,"Generar capacidades sustantivas en los entes nacionales del sector salud y realizar el seguimiento y monitoreo estratégico de los proyectos de salud administrados por el PNUD, con el fin de cumplir los resultados, metas trazadas en los mismos y fortalecer la implementación en las regiones en las cuales trabajan cada uno de los proyectos.",https://open.undp.org/projects/01001570,Bolivia,368413.0,200477.0,"Budget by year: 2025: $80,000.00; 2024: $80,000.00; 2023: $208,413.00. SDG 3 (Good health and well-being) budget: 2023: $208,413.00; 2024: $80,000.00; 2025: $80,000.00. ",,,3,Good health and well-being,22,Leaving no one behind,Digital: No digital technology utilized; OECD DAC Sector: 120 - Health,2023-07-01,2026-06-30
01001471,none,The project focuses on stabilization and strengthening social cohesion and does not mention any water-related elements.,Enhancing Stabilization and Strengthening Social Cohesion (KOICA),"Le projet stabilisation, dénommé Projet de la stabilisation en république centrafricaine est parfaitement aligné au cycle programmatique du CPD2022-2027.Il vise essentiellement à répondre aux défis de lheure en matière de la stabilisation dans les régions du projet",https://open.undp.org/projects/01001471,Central African Republic,1638396.0,775801.0,"Budget by year: 2025: $160,000.00; 2024: $1,446,552.00; 2023: $31,844.00. SDG 8 (Decent work and economic growth) budget: 2023: $21,227.21; 2024: $964,271.56; 2025: $106,656.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $10,616.79; 2024: $482,280.44; 2025: $53,344.00. ",,,"8, 16","Decent work and economic growth, Peace, justice, and strong institutions",22,Leaving no one behind,"Digital: No digital technology utilized, Output partially enabled through digital technology; OECD DAC Sector: 152 - Conflict, Peace & Security",2023-01-01,2025-12-31
01000169,none,"This project is focused on digital transformation, telecommunications, cyber security, and digital literacy. There is no mention of any water-related aspects.",Creating a Digital Society for All – Improving Livelihoods and Strengthening the Economy Through Inclusive Technologies,"The newly established Government of Serbia, which took office in October 2022, retained a strong emphasis on digital transformation and established a new Ministry of Information and Telecommunications (MIT). This ministry was tasked with increasing access to modern telecommunications infrastructure, significantly improving the situation in the area of cyber security and stepping up efforts to promote media literacy and digital literacy at the national level. MIT also faces a significant number of inherited issues as well as a lack of capacity. The ministry will have to deal with these challenges on the fly, knowing what is at stake if it does not act swiftly and decisively to carry out its mission.The most important goal of this project will be to assist the ministry in developing the internal capacities required to carry out its agenda. Next, the project will support MITs work in three key areas: telecommunications, cyber security, and digital and media literacy. The goal in the field of telecommunications ",https://open.undp.org/projects/01000169,Serbia,1104035.0,737022.0,"Budget by year: 2025: $337,999.00; 2024: $521,465.00; 2023: $244,571.00. SDG 8 (Decent work and economic growth) budget: 2023: $81,515.51; 2024: $173,804.28; 2025: $112,655.07. SDG 5 (Gender equality) budget: 2023: $81,539.97; 2024: $173,856.43; 2025: $112,688.87. SDG 9 (Industry, innovation and infrastructure) budget: 2023: $81,515.51; 2024: $173,804.28; 2025: $112,655.07. ",,,"8, 5, 9","Decent work and economic growth, Gender equality, Industry, innovation and infrastructure",22,Leaving no one behind,"Whos: People living in urban areas; Digital: Digital technology is principal enabler for the output, No digital technology utilized; OECD DAC Sector: 150 - Government & Civil Society",2023-03-01,2025-12-31
01000266,none,"This project focuses on the elimination of HCFC consumption and meeting the commitments under the Montreal Protocol, with no mention of any water-related aspects.",Etapa III Eliminación del Consumo HCFC,"El Plan de gestión para la eliminación del consumo de los Hidroclorofluorocarbonos (HCFC) en Colombia comprende las estrategias de largo plazo, diseñadas para cumplir con los compromisos que ha asumido el país en el marco del Protocolo de Montreal, tomando como línea base el promedio de los años 2009 y 2010, para llegar a una reducción del 100% en el año 2030.",https://open.undp.org/projects/01000266,Colombia,751399.0,427486.0,"Budget by year: 2025: $270,099.00; 2024: $334,631.00; 2023: $146,669.00. SDG 13 (Climate action) budget: 2023: $29,333.80; 2024: $66,926.20; 2025: $54,019.80. SDG 8 (Decent work and economic growth) budget: 2023: $29,333.80; 2024: $66,926.20; 2025: $54,019.80. SDG 12 (Responsible consumption and production) budget: 2023: $88,001.40; 2024: $200,778.60; 2025: $162,059.40. ",,,"13, 8, 12","Climate action, Decent work and economic growth, Responsible consumption and production",21,"Structural transformation, including green, inclusive and digital transitions","Hows: Capacity Development / Technical Assistance, Convening / Partnerships / Knowledge Sharing, Policy Advice, Support Functions; Partner: Multilaterals (Vertical Funds, EU); Whos: People living in peri-urban areas, People living in urban areas; Climate: Mitigation Action; Digital: Output significantly enabled through digital technology; Human Rights: Significant contribution to realization of human rights; Sustaining Peace: Sustaining peace is a significant objective; Innovation: Foresight, Solution mapping; OECD DAC Sector: 150 - Government & Civil Society, 230 - Energy, 410 - General Environment Protection",2023-01-01,2027-05-30
01000537,none,"The project focuses on earthquake response, providing employment, vocational training, and social services. There is no mention of water-related elements such as rivers, flooding, water supply, or sanitation facilities.",Building Sustainable Community-Based Models for Earthquake Response,"Building Sustainable Community-Based Models for Earthquake Response: Assisting Underserved Groups through Employment, Vocational Training, and Social Services for Early Recovery: The project aims to develop and implement sustainable community-based models in the early recovery phase of the earthquake response to assist the groups that require special policies by providing access to employment, vocational training and social services.",https://open.undp.org/projects/01000537,Turkiye,2098462.0,1892020.0,"Budget by year: 2025: $0.00; 2024: $205,000.00; 2023: $1,893,462.00. SDG 3 (Good health and well-being) budget: 2023: $631,090.88; 2024: $68,326.50; 2025: $0.00. SDG 10 (Reduced inequalities) budget: 2023: $631,280.23; 2024: $68,347.00; 2025: $0.00. SDG 11 (Sustainable cities and communities) budget: 2023: $631,090.88; 2024: $68,326.50; 2025: $0.00. ",,,"3, 10, 11","Good health and well-being, Reduced inequalities, Sustainable cities and communities",23,Building resilience,Digital: Output partially enabled through digital technology; OECD DAC Sector: 720 - Emergency Response,2023-04-01,2024-08-31
01001608,none,"This project involves supporting the Saudi Food and Drug Authority in biotechnology, drugs, food, medical devices, and digital infrastructure. There are no mentions of water-related elements or objectives.",Saudi Food and Drug Authority (SFDA) 4th Strategic Plan Implementation,"Support SFDA to embrace and adopt Biotechnology in the drugs, food and medical device sector, including digital infrastructure and ecosystem protocols development;",https://open.undp.org/projects/01001608,Saudi Arabia,10074719.0,3925693.0,"Budget by year: 2025: $5,655,536.00; 2024: $0.00; 2023: $4,419,183.00. SDG 3 (Good health and well-being) budget: 2023: $2,209,591.50; 2024: $0.00; 2025: $2,827,768.00. SDG 9 (Industry, innovation and infrastructure) budget: 2023: $2,209,591.50; 2024: $0.00; 2025: $2,827,768.00. ",,,"3, 9","Good health and well-being, Industry, innovation and infrastructure",21,"Structural transformation, including green, inclusive and digital transitions",Digital: Output significantly enabled through digital technology; OECD DAC Sector: 120 - Health,2024-01-01,2026-12-31
01000360,none,"The project is focused on supporting the transition to a low carbon economy and energy transition in South Africa, with no mention of water-related issues or infrastructure.",Advancing Inclusive Just Energy Transition in South Africa,"The overall aim of the project is to strengthen and support human security as South Africa transitions to a low carbon economy through the following three strategic interventions.This project is embedded in several of the government’s key humanitarian and economic recovery activities. The project will take a human security focus, with project design including securing a just transition to the shifting of coal-based energy sources to a cleaner source and increasing capacity of key stakeholders and communities in these thematic areas. The project will work closely with the Government of South Africa, Japanese and South African Private Sector and make linkages with ongoing SATREPS project.",https://open.undp.org/projects/01000360,South Africa,1280822.0,724957.0,"Budget by year: 2025: $0.00; 2024: $706,195.00; 2023: $574,627.00. SDG 7 (Affordable and clean energy) budget: 2023: $191,580.64; 2024: $235,445.41; 2025: $0.00. SDG 13 (Climate action) budget: 2023: $95,675.40; 2024: $117,581.47; 2025: $0.00. SDG 8 (Decent work and economic growth) budget: 2023: $95,790.32; 2024: $117,722.71; 2025: $0.00. SDG 9 (Industry, innovation and infrastructure) budget: 2023: $95,790.32; 2024: $117,722.71; 2025: $0.00. SDG 17 (Partnerships for the goals) budget: 2023: $95,790.32; 2024: $117,722.71; 2025: $0.00. ",,,"7, 13, 8, 9, 17","Affordable and clean energy, Climate action, Decent work and economic growth, Industry, innovation and infrastructure, Partnerships for the goals",21,"Structural transformation, including green, inclusive and digital transitions","Hows: Capacity Development / Technical Assistance, Convening / Partnerships / Knowledge Sharing, Direct support / Service Delivery, Innovative Approaches, Policy Advice, Support Functions; Partner: Donor government, National government; Whos: People living in rural areas, People living in urban areas, Women, Youth; Climate: Adaptation Action, Mitigation Action; Digital: No digital technology utilized, Output partially enabled through digital technology; Human Rights: Limited contribution to realization of human rights, Significant contribution to realization of human rights; Sustaining Peace: Contributes to sustaining peace empowerment in a limited way; Innovation: Other; OECD DAC Sector: 230 - Energy",2023-03-01,2024-12-31
01000612,none,"The project focuses on recovery and restoration of housing and infrastructure in war-affected areas, with no mention of water-related elements or issues.","Quality assurance for UNITED24, DREAM and Kyiv Oblast Recovery initiatives","The Project, launched on April 1, 2023, supports Ukraines recovery efforts through three key initiatives. The UNITED24 initiative focuses on restoring 18 housing projects in the Kyiv region, including in Irpin, Borodyanka, Hostomel, and the villages of Buzova and Myla. The Kyiv Oblast Recovery Initiative, coordinated by the Kyiv Regional State (Military) Administration (Kyiv RMA), focuses on restoration an additional 48 facilities in war-affected areas of the region. The DREAM initiative provides quality control for 420 infrastructure recovery projects through the Digital Restoration Ecosystem for Accountable Management (DREAM) platform.The Project is being implemented within the framework of a Memorandum of Understanding (MoU) between UNDP, the Ministry for Development, and the Kyiv RMA, signed on March 2, 2023. This MoU formalises cooperation among the parties in support of recovery efforts.The UNDP team provides technical assistance and quality assurance to the Project’s final beneficiaries, prioritising ",https://open.undp.org/projects/01000612,Ukraine,500001.0,462258.0,"Budget by year: 2025: $5,804.00; 2024: $366,983.00; 2023: $127,214.00. SDG 9 (Industry, innovation and infrastructure) budget: 2023: $127,214.00; 2024: $366,983.00; 2025: $5,804.00. ",,,9,"Industry, innovation and infrastructure",23,Building resilience,Hows: Capacity Development / Technical Assistance; Digital: No digital technology utilized; OECD DAC Sector: 730 - Reconstruction Relief & Rehabilitation,2023-04-01,2025-02-10
01001240,none,The project focuses on creating a Human Development Report with an emphasis on governance and does not mention any water-related elements.,Informe de Desarrollo Humano,"Elaborar el Informe de Desarrollo Humano, considerando la elaboración de un diagnóstico, la construcción participativa de recomendaciones, la sistematización y la difusión y socialización. Se buscará profundizar en la temática de gobernabilidad.",https://open.undp.org/projects/01001240,Peru,230892.0,130836.0,"Budget by year: 2025: $0.00; 2024: $120,892.00; 2023: $110,000.00. SDG 1 (No poverty) budget: 2023: $110,000.00; 2024: $120,892.00; 2025: $0.00. ",,,1,No poverty,22,Leaving no one behind,Digital: Output significantly enabled through digital technology; OECD DAC Sector: 150 - Government & Civil Society,2023-09-01,2025-12-31
01001325,none,"There is no mention of water-related elements such as rivers, lakes, water supply, sanitation, or water management in the description. The project focuses on sustainable development and public policy instruments in Quito.",Promoción del desarrollo sostenible del Distrito Metropolitano de Quito,Fortalecer los instrumentos de política pública del MDMQ para el desarrollo sostenible,https://open.undp.org/projects/01001325,Ecuador,334306.0,245532.0,"Budget by year: 2025: $22,920.00; 2024: $240,128.00; 2023: $71,258.00. SDG 8 (Decent work and economic growth) budget: 2023: $14,251.60; 2024: $48,025.60; 2025: $4,584.00. SDG 9 (Industry, innovation and infrastructure) budget: 2023: $14,251.60; 2024: $48,025.60; 2025: $4,584.00. SDG 17 (Partnerships for the goals) budget: 2023: $14,251.60; 2024: $48,025.60; 2025: $4,584.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $14,251.60; 2024: $48,025.60; 2025: $4,584.00. SDG 11 (Sustainable cities and communities) budget: 2023: $14,251.60; 2024: $48,025.60; 2025: $4,584.00. ",,,"8, 9, 17, 16, 11","Decent work and economic growth, Industry, innovation and infrastructure, Partnerships for the goals, Peace, justice, and strong institutions, Sustainable cities and communities",21,"Structural transformation, including green, inclusive and digital transitions",Hows: Capacity Development / Technical Assistance; Whos: Youth; Digital: No digital technology utilized; Human Rights: Not expected to contribute to realization of human rights; Sustaining Peace: Not expected to contribute towards sustaining peace; OECD DAC Sector: 150 - Government & Civil Society,2023-10-06,2025-03-31
01001283,none,"This project focuses on civic education, governmental structures, and citizens' engagement in public life in Comores. There is no mention of water-related issues or infrastructure.","Comores - Autonomisation, engagement et expression par l'éducation civique (E3CE)","The Comorian administration is highly centralized, with federal, island and local government structures. At the federal level, the most visible structure of governance remains the presidency. The Union Assembly, which had 24 members until the last legislature, was increased to 35 seats by a law passed in February 2023, which established 11 additional electoral districts. Presidential elections are scheduled for 2024. The islands are organized as a governorate composed of prefectures subdivided into communes. Although elected by the citizens, there are no mechanisms for elected officials to consult with citizens to take their needs into account in the formulation of public policy or legislation. In turn, there is also a lack of mechanisms and capacities for citizens, especially women, to participate in public life and to hold those in power accountable for the management of public affairs, including transparent elections.",https://open.undp.org/projects/01001283,Comoros,691078.0,444918.0,"Budget by year: 2025: $95,917.00; 2024: $587,246.00; 2023: $7,915.00. SDG 7 (Affordable and clean energy) budget: 2023: $1,583.00; 2024: $117,449.20; 2025: $19,183.40. SDG 5 (Gender equality) budget: 2023: $1,583.00; 2024: $117,449.20; 2025: $19,183.40. SDG 17 (Partnerships for the goals) budget: 2023: $1,583.00; 2024: $117,449.20; 2025: $19,183.40. SDG 4 (Quality education) budget: 2023: $1,583.00; 2024: $117,449.20; 2025: $19,183.40. SDG 2 (Zero hunger) budget: 2023: $1,583.00; 2024: $117,449.20; 2025: $19,183.40. ",,,"7, 5, 17, 4, 2","Affordable and clean energy, Gender equality, Partnerships for the goals, Quality education, Zero hunger",23,Building resilience,"Hows: Capacity Development / Technical Assistance; COVID-19 Response: Governance; Digital: No digital technology utilized, Output partially enabled through digital technology; Human Rights: Principal contribution is to the realization of human rights; Sustaining Peace: Sustaining Peace is the principal objective; OECD DAC Sector: 110 - Education, 150 - Government & Civil Society, 152 - Conflict, Peace & Security",2023-09-22,2025-09-21
01000462,none,"The project is focused on using machine learning to predict vulnerability levels and does not mention any aspects related to water, such as water supply, sanitation, resource management, or infrastructure.",Machine Learning - PIP,Machine Learning PIP (Prediction of Multidimensional Vulnerability Levels across Afghanistan Using Machine Learning),https://open.undp.org/projects/01000462,Afghanistan,513216.0,193196.0,"Budget by year: 2024: $0.00; 2023: $513,216.00. SDG 5 (Gender equality) budget: 2023: $513,216.00; 2024: $0.00. ",,,5,Gender equality,22,Leaving no one behind,Hows: Data Collection and Analysis; Joint Programme: Joint Activity; COVID-19 Response: Digital disruption and innovation; Digital: Digital technology is principal enabler for the output; Human Rights: Limited contribution to realization of human rights; Sustaining Peace: Not expected to contribute towards sustaining peace; Innovation: Artificial intelligence; OECD DAC Sector: 250 - Business & Other Services,2023-01-01,2024-03-31
01001129,none,The project focuses on strengthening the operational capacities of a national broadcasting institution to enhance democratic governance. There is no mention of any water-related elements in the project title or description.,STRENGTHENING THE OPERATIONAL CAPACITIES OF THE RTTL (RÁDIO-TELEVISÃO TIMOR LESTE) TO ENHANCE DEMOCRATIC GOVERNANCE IN TIMOR-LESTE,"The RTTL is a national institution under the Secretary State of Communication, plays a key role in promoting democratic efforts by proving participatory dialogue spaces for political and social debates. The level of structural damages to the RTTL building hinders the proper functioning of the institution and, by extension, its role in the countrys governance system. The internal capacities of the RTTL personnel to conduct public social and political debate need to be strengthened enhance RTTLs promote participatory democracy In Timor-Leste.",https://open.undp.org/projects/01001129,Timor-Leste,5561419.0,555785.0,"Budget by year: 2025: $221,551.00; 2024: $4,972,987.00; 2023: $366,881.00. SDG 7 (Affordable and clean energy) budget: 2023: $366,881.00; 2024: $4,972,987.00; 2025: $221,551.00. ",,,7,Affordable and clean energy,22,Leaving no one behind,"Climate: Adaptation Action; Digital: No digital technology utilized, Output partially enabled through digital technology; OECD DAC Sector: 150 - Government & Civil Society, 320 - Industry, Mining, Construction",2023-08-01,2026-08-31
